year,fips,value
2018,37063000101,0
2019,37063000101,0
2018,37063000102,0
2019,37063000102,0
2018,37063000200,0
2019,37063000200,0
2018,37063000301,0
2019,37063000301,0
2018,37063000302,0
2019,37063000302,0
2018,37063000401,0
2019,37063000401,0
2018,37063000402,0
2019,37063000402,0
2018,37063000500,0
2019,37063000500,0
2018,37063000600,0
2019,37063000600,3
2018,37063000700,0
2019,37063000700,0
2018,37063000900,0
2019,37063000900,0
2018,37063001001,0
2019,37063001001,5
2018,37063001002,9
2019,37063001002,16
2018,37063001100,0
2019,37063001100,4
2018,37063001301,0
2019,37063001301,0
2018,37063001303,0
2019,37063001303,0
2018,37063001304,0
2019,37063001304,0
2018,37063001400,0
2019,37063001400,0
2018,37063001501,0
2019,37063001501,0
2018,37063001502,3
2019,37063001502,4
2018,37063001503,0
2019,37063001503,0
2018,37063001601,0
2019,37063001601,0
2018,37063001603,0
2019,37063001603,0
2018,37063001604,0
2019,37063001604,0
2018,37063001705,4
2019,37063001705,4
2018,37063001706,0
2019,37063001706,3
2018,37063001707,0
2019,37063001707,0
2018,37063001708,0
2019,37063001708,0
2018,37063001709,0
2019,37063001709,5
2018,37063001710,0
2019,37063001710,3
2018,37063001711,0
2019,37063001711,6
2018,37063001801,0
2019,37063001801,8
2018,37063001802,11
2019,37063001802,8
2018,37063001806,0
2019,37063001806,0
2018,37063001807,5
2019,37063001807,13
2018,37063001808,5
2019,37063001808,8
2018,37063001809,0
2019,37063001809,0
2018,37063001900,0
2019,37063001900,0
2018,37063002007,0
2019,37063002007,0
2018,37063002008,0
2019,37063002008,0
2018,37063002009,0
2019,37063002009,4
2018,37063002013,0
2019,37063002013,0
2018,37063002015,0
2019,37063002015,0
2018,37063002016,0
2019,37063002016,0
2018,37063002017,0
2019,37063002017,0
2018,37063002018,0
2019,37063002018,0
2018,37063002019,0
2019,37063002019,0
2018,37063002020,0
2019,37063002020,3
2018,37063002021,5
2019,37063002021,5
2018,37063002022,0
2019,37063002022,0
2018,37063002023,0
2019,37063002023,0
2018,37063002024,0
2019,37063002024,0
2018,37063002025,0
2019,37063002025,0
2018,37063002026,0
2019,37063002026,3
2018,37063002027,0
2019,37063002027,0
2018,37063002028,0
2019,37063002028,0
2018,37063002100,0
2019,37063002100,0
2018,37063002200,0
2019,37063002200,0
2018,37063002300,0
2019,37063002300,0
2018,37063980100,0
2019,37063980100,0
