year,fips,value
2018,37063000101,19
2019,37063000101,21
2018,37063000102,25
2019,37063000102,31
2018,37063000200,17
2019,37063000200,15
2018,37063000301,3
2019,37063000301,6
2018,37063000302,19
2019,37063000302,31
2018,37063000401,23
2019,37063000401,26
2018,37063000402,10
2019,37063000402,18
2018,37063000500,10
2019,37063000500,14
2018,37063000600,23
2019,37063000600,32
2018,37063000700,24
2019,37063000700,27
2018,37063000900,0
2019,37063000900,0
2018,37063001001,7
2019,37063001001,16
2018,37063001002,11
2019,37063001002,17
2018,37063001100,6
2019,37063001100,10
2018,37063001301,3
2019,37063001301,0
2018,37063001303,0
2019,37063001303,0
2018,37063001304,0
2019,37063001304,7
2018,37063001400,0
2019,37063001400,0
2018,37063001501,0
2019,37063001501,0
2018,37063001502,8
2019,37063001502,10
2018,37063001503,0
2019,37063001503,0
2018,37063001601,92
2019,37063001601,108
2018,37063001603,110
2019,37063001603,135
2018,37063001604,111
2019,37063001604,124
2018,37063001705,85
2019,37063001705,100
2018,37063001706,35
2019,37063001706,41
2018,37063001707,172
2019,37063001707,200
2018,37063001708,17
2019,37063001708,21
2018,37063001709,21
2019,37063001709,37
2018,37063001710,31
2019,37063001710,34
2018,37063001711,25
2019,37063001711,36
2018,37063001801,66
2019,37063001801,82
2018,37063001802,21
2019,37063001802,26
2018,37063001806,64
2019,37063001806,81
2018,37063001807,41
2019,37063001807,56
2018,37063001808,59
2019,37063001808,71
2018,37063001809,59
2019,37063001809,65
2018,37063001900,65
2019,37063001900,97
2018,37063002007,65
2019,37063002007,70
2018,37063002008,43
2019,37063002008,56
2018,37063002009,0
2019,37063002009,0
2018,37063002013,27
2019,37063002013,33
2018,37063002015,63
2019,37063002015,62
2018,37063002016,17
2019,37063002016,23
2018,37063002017,84
2019,37063002017,122
2018,37063002018,70
2019,37063002018,89
2018,37063002019,23
2019,37063002019,30
2018,37063002020,34
2019,37063002020,47
2018,37063002021,21
2019,37063002021,23
2018,37063002022,26
2019,37063002022,33
2018,37063002023,8
2019,37063002023,16
2018,37063002024,40
2019,37063002024,46
2018,37063002025,18
2019,37063002025,29
2018,37063002026,4
2019,37063002026,13
2018,37063002027,47
2019,37063002027,50
2018,37063002028,23
2019,37063002028,39
2018,37063002100,106
2019,37063002100,137
2018,37063002200,5
2019,37063002200,10
2018,37063002300,0
2019,37063002300,0
2018,37063980100,0
2019,37063980100,0
