fips,year,value
37063000101,2012,80
37063000101,2013,52
37063000101,2014,95
37063000101,2015,102
37063000101,2016,153
37063000101,2017,73
37063000101,2018,89
37063000101,2019,78
37063000101,2020,78
37063000101,2021,111
37063000101,2022,73
37063000102,2012,47
37063000102,2013,35
37063000102,2014,51
37063000102,2015,41
37063000102,2016,72
37063000102,2017,61
37063000102,2018,82
37063000102,2019,53
37063000102,2020,46
37063000102,2021,63
37063000102,2022,59
37063000200,2012,39
37063000200,2013,50
37063000200,2014,39
37063000200,2015,53
37063000200,2016,87
37063000200,2017,53
37063000200,2018,65
37063000200,2019,45
37063000200,2020,33
37063000200,2021,49
37063000200,2022,24
37063000301,2012,30
37063000301,2013,43
37063000301,2014,58
37063000301,2015,54
37063000301,2016,81
37063000301,2017,59
37063000301,2018,85
37063000301,2019,66
37063000301,2020,66
37063000301,2021,46
37063000301,2022,69
37063000302,2012,22
37063000302,2013,17
37063000302,2014,26
37063000302,2015,30
37063000302,2016,72
37063000302,2017,50
37063000302,2018,55
37063000302,2019,38
37063000302,2020,47
37063000302,2021,49
37063000302,2022,20
37063000401,2012,32
37063000401,2013,13
37063000401,2014,22
37063000401,2015,28
37063000401,2016,33
37063000401,2017,21
37063000401,2018,36
37063000401,2019,24
37063000401,2020,28
37063000401,2021,31
37063000401,2022,34
37063000402,2012,20
37063000402,2013,25
37063000402,2014,22
37063000402,2015,22
37063000402,2016,22
37063000402,2017,26
37063000402,2018,54
37063000402,2019,39
37063000402,2020,19
37063000402,2021,26
37063000402,2022,30
37063000500,2012,79
37063000500,2013,75
37063000500,2014,57
37063000500,2015,60
37063000500,2016,68
37063000500,2017,66
37063000500,2018,66
37063000500,2019,35
37063000500,2020,50
37063000500,2021,51
37063000500,2022,61
37063000600,2012,66
37063000600,2013,50
37063000600,2014,41
37063000600,2015,61
37063000600,2016,54
37063000600,2017,34
37063000600,2018,50
37063000600,2019,35
37063000600,2020,70
37063000600,2021,28
37063000600,2022,60
37063000700,2012,19
37063000700,2013,15
37063000700,2014,21
37063000700,2015,32
37063000700,2016,36
37063000700,2017,33
37063000700,2018,45
37063000700,2019,30
37063000700,2020,22
37063000700,2021,28
37063000700,2022,30
37063000900,2012,151
37063000900,2013,160
37063000900,2014,138
37063000900,2015,169
37063000900,2016,205
37063000900,2017,162
37063000900,2018,165
37063000900,2019,149
37063000900,2020,80
37063000900,2021,104
37063000900,2022,90
37063001001,2012,214
37063001001,2013,198
37063001001,2014,296
37063001001,2015,253
37063001001,2016,273
37063001001,2017,224
37063001001,2018,223
37063001001,2019,221
37063001001,2020,122
37063001001,2021,121
37063001001,2022,147
37063001002,2012,113
37063001002,2013,162
37063001002,2014,161
37063001002,2015,149
37063001002,2016,199
37063001002,2017,197
37063001002,2018,181
37063001002,2019,222
37063001002,2020,113
37063001002,2021,149
37063001002,2022,114
37063001100,2012,66
37063001100,2013,106
37063001100,2014,90
37063001100,2015,135
37063001100,2016,132
37063001100,2017,84
37063001100,2018,118
37063001100,2019,94
37063001100,2020,65
37063001100,2021,91
37063001100,2022,82
37063001301,2012,99
37063001301,2013,187
37063001301,2014,200
37063001301,2015,162
37063001301,2016,220
37063001301,2017,210
37063001301,2018,186
37063001301,2019,95
37063001301,2020,107
37063001301,2021,117
37063001301,2022,113
37063001303,2012,58
37063001303,2013,104
37063001303,2014,97
37063001303,2015,73
37063001303,2016,111
37063001303,2017,105
37063001303,2018,90
37063001303,2019,78
37063001303,2020,61
37063001303,2021,67
37063001303,2022,47
37063001304,2012,53
37063001304,2013,58
37063001304,2014,42
37063001304,2015,43
37063001304,2016,63
37063001304,2017,55
37063001304,2018,67
37063001304,2019,41
